,instance_ID,total_time,battery_left,CPU_time,path,flexible_decision,WCL_speed_level,battery_consumption,battery_charged,SOC,charging_time,Feasible_path_number,travel_time_list,charging_time_list,SC_time,SC_charging_time,SC_battery_charged,SC_charge_time_list,SC_travel_time_list,19,20,21,22,23,24
0,0.0,3.6783,3.77,4649.645249605179,"['0', '1', '3', '6', '4', '2', '5', '7']","[0, 1, 0, 1, 0, 0, 0]","[0, 40, 0, 20, 0, 0, 0]","[7.41, 5.9, 7.73, 9.94, 13.33, 2.32, 2.85]","[0, 6.75, 0, 22.5, 0, 0, 0]","[24, 16.59, 17.44, 9.71, 22.27, 8.94, 6.62, 3.77]",0.32,42.0,"[0.47, 0.42, 0.6, 0.96, 0.86, 0.18, 0.18]","[0, 0.07, 0, 0.25, 0, 0, 0]",4.839637473586385,0.22,"[0, 12.65, 0, 32.44, 0, 0, 0]","[0, 0.06, 0, 0.16, 0, 0, 0]","[0.47, 0.82, 0.6, 1.72, 0.86, 0.18, 0.18]",0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,5.3669,3.7,4940.493098020554,"['0', '4', '2', '1', '5', '6', '3', '7']","[1, 0, 1, 1, 1, 1, 0]","[40, 0, 40, 40, 40, 30, 0]","[15.54, 20.22, 4.33, 1.65, 14.21, 8.62, 5.77]","[18.0, 0, 4.5, 2.25, 15.75, 12.0, 0]","[24, 24, 3.78, 3.95, 4.55, 6.09, 9.47, 3.7]",0.5800000000000001,68.0,"[1.34, 1.31, 0.36, 0.13, 1.04, 0.76, 0.43]","[0.2, 0, 0.05, 0.03, 0.17, 0.13, 0]",8.849012256442487,0.44999999999999996,"[31.08, 0, 8.83, 3.9, 29.96, 20.62, 0]","[0.15, 0, 0.04, 0.02, 0.14, 0.1, 0]","[2.65, 1.31, 0.7, 0.26, 2.04, 1.46, 0.43]",0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,4.5017,4.8,4110.485796928406,"['0', '4', '6', '5', '3', '1', '2', '7']","[1, 1, 0, 1, 0, 1, 0]","[40, 40, 0, 40, 0, 30, 0]","[6.11, 8.99, 6.04, 11.07, 9.78, 8.29, 9.52]","[6.75, 9.0, 0, 13.5, 0, 12.0, 0]","[24, 24, 24, 17.96, 20.39, 10.61, 14.32, 4.8]",0.45,18.0,"[0.52, 0.65, 0.43, 0.77, 0.81, 0.64, 0.67]","[0.07, 0.1, 0, 0.15, 0, 0.13, 0]",6.960562741308065,0.37,"[12.22, 17.98, 0, 24.57, 0, 20.29, 0]","[0.06, 0.09, 0, 0.12, 0, 0.1, 0]","[1.04, 1.29, 0.43, 1.5, 0.81, 1.22, 0.67]",0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,5.3926,4.11,2048.260915517807,"['0', '4', '6', '3', '1', '5', '2', '7']","[1, 1, 1, 1, 0, 1, 0]","[40, 40, 0, 40, 0, 30, 0]","[17.06, 18.61, 0.5, 2.53, 12.86, 9.15, 9.1]","[20.25, 22.5, 0, 2.25, 0, 12.0, 0]","[24, 24, 24, 23.5, 23.22, 10.36, 13.21, 4.11]",0.64,18.0,"[1.47, 1.37, 0.04, 0.25, 0.81, 0.81, 0.64]","[0.23, 0.25, 0, 0.03, 0, 0.13, 0]",9.111779344073648,0.45999999999999996,"[34.12, 37.22, 4.78, 0, 21.15, 0]","[0.16, 0.18, 0.02, 0, 0.1, 0]","[2.9, 2.68, 0.5, 0.81, 1.58, 0.64]",0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,3.8597,4.22,14380.572613239288,"['0', '3', '1', '4', '2', '6', '5', '7']","[0, 1, 0, 0, 1, 1, 0]","[0, 40, 0, 0, 30, 20, 0]","[6.18, 3.47, 5.89, 5.65, 1.05, 14.25, 15.54]","[0, 2.25, 0, 0, 3.0, 27.0, 0]","[24, 17.82, 16.6, 10.71, 5.06, 7.01, 19.76, 4.22]",0.36,65.0,"[0.42, 0.34, 0.38, 0.37, 0.1, 1.26, 0.99]","[0, 0.03, 0, 0, 0.03, 0.3, 0]",5.312181036957835,0.25,"[0, 5.72, 0, 0, 4.05, 41.25, 0]","[0, 0.03, 0, 0, 0.02, 0.2, 0]","[0.42, 0.69, 0.38, 0.37, 0.18, 2.28, 0.99]",0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,5.5131,5.88,2874.043077468872,"['0', '5', '6', '3', '1', '4', '2', '7']","[0, 1, 1, 1, 0, 0, 1]","[0, 40, 20, 20, 0, 0, 40]","[13.73, 22.05, 4.59, 4.61, 9.96, 7.67, 9.51]","[0, 24.75, 9.0, 9.0, 0, 0, 11.25]","[24, 10.27, 12.97, 17.38, 21.77, 11.81, 4.14, 5.88]",0.6,26.0,"[1.07, 1.62, 0.44, 0.5, 0.64, 0.5, 0.75]","[0, 0.28, 0.1, 0.1, 0, 0, 0.12]",8.593087127415657,0.4600000000000001,"[0, 46.8, 13.59, 13.61, 0, 0, 20.76]","[0, 0.22, 0.07, 0.07, 0, 0, 0.1]","[1.07, 3.18, 0.79, 0.93, 0.64, 0.5, 1.48]",0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,5.843,4.79,6460.153605699539,"['0', '4', '3', '2', '6', '1', '5', '7']","[1, 1, 0, 1, 1, 0, 0]","[40, 40, 0, 30, 20, 0, 0]","[12.81, 16.66, 13.23, 14.59, 1.69, 1.72, 15.57]","[15.75, 15.75, 0, 24.0, 4.5, 0, 0]","[24, 24, 23.09, 9.86, 19.27, 22.08, 20.36, 4.79]",0.6600000000000001,141.0,"[1.11, 1.17, 0.99, 1.28, 0.19, 0.11, 0.99]","[0.17, 0.17, 0, 0.27, 0.05, 0, 0]",9.395862210172556,0.5,"[25.62, 32.41, 0, 38.59, 6.19, 0, 0]","[0.12, 0.16, 0, 0.19, 0.03, 0, 0]","[2.18, 2.32, 0.99, 2.45, 0.35, 0.11, 0.99]",0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,5.9805,3.85,1294.2463121414185,"['0', '1', '6', '2', '4', '5', '3', '7']","[0, 1, 0, 1, 1, 1, 0]","[0, 40, 0, 40, 40, 30, 0]","[9.67, 16.9, 10.47, 7.73, 7.47, 15.79, 12.87]","[0, 18.0, 0, 9.0, 6.75, 27.0, 0]","[24, 14.33, 15.43, 4.96, 6.23, 5.51, 16.72, 3.85]",0.67,21.0,"[0.61, 1.15, 0.71, 0.74, 0.62, 1.18, 0.97]","[0, 0.2, 0, 0.1, 0.07, 0.3, 0]",9.435807365014682,0.53,"[0, 34.9, 0, 16.73, 14.22, 42.79, 0]","[0, 0.17, 0, 0.08, 0.07, 0.21, 0]","[0.61, 2.25, 0.71, 1.48, 1.23, 2.19, 0.97]",0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,4.4958,3.67,2898.5173382759094,"['0', '1', '5', '6', '4', '2', '3', '7']","[0, 1, 1, 1, 0, 1, 0]","[0, 40, 30, 30, 0, 40, 0]","[16.34, 6.52, 16.02, 4.62, 7.31, 4.4, 6.37]","[0, 9.0, 24.0, 6.0, 0, 2.25, 0]","[24, 7.66, 10.14, 18.12, 19.5, 12.19, 10.04, 3.67]",0.47,44.0,"[1.03, 0.53, 1.24, 0.4, 0.47, 0.34, 0.48]","[0, 0.1, 0.27, 0.07, 0, 0.03, 0]",6.801564767727559,0.33999999999999997,"[0, 15.52, 40.02, 10.62, 0, 6.65, 0]","[0, 0.07, 0.19, 0.05, 0, 0.03, 0]","[1.03, 1.03, 2.33, 0.77, 0.47, 0.69, 0.48]",0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,4.2876,8.15,3296.363479614258,"['0', '3', '5', '4', '6', '2', '1', '7']","[0, 0, 1, 1, 0, 1, 1]","[0, 0, 30, 30, 0, 40, 40]","[6.82, 11.25, 4.06, 14.18, 10.35, 1.61, 10.33]","[0, 0, 6.0, 21.0, 0, 2.25, 13.5]","[24, 17.18, 5.93, 7.87, 14.69, 4.34, 4.98, 8.15]",0.4800000000000001,25.0,"[0.47, 0.74, 0.33, 1.1, 0.7, 0.14, 0.82]","[0, 0, 0.07, 0.23, 0, 0.03, 0.15]",6.4736829445418635,0.35000000000000003,"[0, 0, 10.06, 35.18, 0, 3.86, 23.83]","[0, 0, 0.05, 0.17, 0, 0.02, 0.11]","[0.47, 0.74, 0.63, 2.07, 0.7, 0.26, 1.61]",0.0,0.0,0.0,0.0,0.0,0.0
